Date/Time,Word Count,en,es
2025.09.25-19.40.28,49,49,0
2025.09.25-19.46.59,47,47,0
2025.09.25-20.04.16,47,47,42
2025.09.25-20.09.33,48,48,42
2025.09.25-20.13.14,48,48,43
2025.09.25-20.31.37,48,48,41
2025.09.25-20.39.33,48,48,42
2025.09.25-20.54.15,48,48,47
2025.09.25-20.56.50,48,48,0
2025.09.25-21.08.04,48,48,48
2025.09.25-21.23.20,45,45,45
2025.09.25-21.55.59,45,45,42
2025.10.12-23.09.11,164,164,25
2026.01.19-17.05.44,1936,1936,46
2026.01.19-17.54.00,1936,1936,1936
2026.01.22-17.51.18,1930,1930,1914
2026.04.18-03.17.55,3357,3357,285
2026.04.19-00.33.42,3361,3361,2078
2026.04.23-06.30.03,3370,3370,2078
2026.04.23-18.45.27,3374,3374,2087
2026.04.23-18.57.00,3378,3378,2088
2026.04.24-01.26.44,3381,3381,3072
2026.04.24-01.28.01,3381,3381,3133
2026.04.25-04.46.45,3382,3382,2667
2026.04.26-19.10.34,3385,3385,2316
2026.04.26-20.21.45,3389,3389,2058
2026.04.26-20.49.15,3453,3453,2019
2026.04.26-20.52.51,3205,3205,2019
2026.04.26-20.55.15,3205,3205,2083
2026.04.26-22.26.19,3212,3212,3200
2026.04.26-22.41.04,3212,3212,3212
2026.04.26-22.42.51,3212,3212,3209
2026.04.28-19.05.29,3237,3237,3074
2026.04.28-19.06.49,3237,3237,3104
2026.04.28-21.00.12,3237,3237,3237
2026.04.30-02.44.07,3308,3308,3181
2026.04.30-02.57.53,3335,3335,3136
2026.04.30-21.40.38,3335,3335,3335
